rank,k,candidate_index,policy_id,distance_metric,subject_prototype_weight,personalization_blend_weight,temperature,selection_scope,episode_count,subject_count,seed_count,p0_macro_f1_mean,p1_macro_f1_mean,delta_macro_f1_mean,delta_macro_f1_p10,delta_macro_f1_std,p1_balanced_accuracy_mean,harm_episode_fraction,elapsed_seconds
36,2,34,k2-policy34,sqeuclidean,1.0,0.75,0.5,cross_session,680,34,20,0.994701548170108,0.929674623127753,-0.06502692504235523,-0.21469474811580075,0.09550618675685908,0.9367121848739497,0.5838235294117647,38.66007538199983
1,3,31,k3-policy31,sqeuclidean,1.0,0.25,1.0,cross_session,680,34,20,0.994701548170108,0.995200919816792,0.00049937164668402,0.0,0.002970422064148905,0.9952468487394958,0.007352941176470588,40.20960304899927
2,3,25,k3-policy25,sqeuclidean,0.75,0.25,1.0,cross_session,680,34,20,0.994701548170108,0.9949889493816978,0.00028740121158985285,0.0,0.0022739844478756525,0.9950367647058823,0.007352941176470588,42.12441648599997
3,3,19,k3-policy19,sqeuclidean,0.5,0.25,1.0,cross_session,680,34,20,0.994701548170108,0.9947280444744948,2.649630438677089e-05,0.0,0.0006904308547857674,0.9947741596638657,0.0,39.16872787900047
4,3,13,k3-policy13,cosine,1.0,0.25,1.0,cross_session,680,34,20,0.994701548170108,0.9946869388781152,-1.460929199265692e-05,0.0,8.859759060326948e-05,0.9947478991596641,0.026470588235294117,38.92710318399986
5,3,7,k3-policy07,cosine,0.75,0.25,1.0,cross_session,680,34,20,0.994701548170108,0.9946844460006226,-1.710216948553448e-05,0.0,0.0010279205769773223,0.9947478991596639,0.027941176470588237,38.78962391999994
6,3,30,k3-policy30,sqeuclidean,1.0,0.25,0.5,cross_session,680,34,20,0.994701548170108,0.9944932894899116,-0.00020825868019645543,0.0,0.004823227397797048,0.9945378151260503,0.06764705882352941,39.86218193700006
7,3,24,k3-policy24,sqeuclidean,0.75,0.25,0.5,cross_session,680,34,20,0.994701548170108,0.9944662361831113,-0.00023531198699686722,0.0,0.004869928043949726,0.9945115546218487,0.06470588235294118,39.564398718999655
8,3,18,k3-policy18,sqeuclidean,0.5,0.25,0.5,cross_session,680,34,20,0.994701548170108,0.9942969051557762,-0.00040464301433188545,0.0,0.004818434366254604,0.9943539915966387,0.05,38.25886584900036
9,3,1,k3-policy01,cosine,0.5,0.25,1.0,cross_session,680,34,20,0.994701548170108,0.994001094587555,-0.000700453582552973,0.0,0.004099747776460572,0.9940651260504203,0.04852941176470588,38.37408456599951
10,3,33,k3-policy33,sqeuclidean,1.0,0.5,1.0,cross_session,680,34,20,0.994701548170108,0.9939314374956387,-0.000770110674469276,0.0,0.009236811998406324,0.9939600840336136,0.0838235294117647,39.93857033600034
11,3,27,k3-policy27,sqeuclidean,0.75,0.5,1.0,cross_session,680,34,20,0.994701548170108,0.9934968257862875,-0.0012047223838204837,0.0,0.009332973436643304,0.9935399159663866,0.08529411764705883,39.63706683700002
12,3,21,k3-policy21,sqeuclidean,0.5,0.5,1.0,cross_session,680,34,20,0.994701548170108,0.9930879237358228,-0.0016136244342851436,0.0,0.010982920362480754,0.993172268907563,0.07647058823529412,39.55267208299938
13,3,12,k3-policy12,cosine,1.0,0.25,0.5,cross_session,680,34,20,0.994701548170108,0.9929451561326871,-0.0017563920374210245,0.0,0.00806909629493115,0.9930409663865546,0.08676470588235294,38.43601542899978
14,3,6,k3-policy06,cosine,0.75,0.25,0.5,cross_session,680,34,20,0.994701548170108,0.9927971907709855,-0.0019043573991224681,0.0,0.009359716848303341,0.992909663865546,0.07794117647058824,39.3789500339999
15,3,0,k3-policy00,cosine,0.5,0.25,0.5,cross_session,680,34,20,0.994701548170108,0.9918086434798715,-0.002892904690236604,-0.0005519065863892614,0.011913324628410854,0.991938025210084,0.10882352941176471,39.573174166999706
16,3,32,k3-policy32,sqeuclidean,1.0,0.5,0.5,cross_session,680,34,20,0.994701548170108,0.9917133639337837,-0.002988184236324199,-0.017879948914431676,0.017838692198252227,0.9917279411764706,0.125,38.384792316999665
17,3,15,k3-policy15,cosine,1.0,0.5,1.0,cross_session,680,34,20,0.994701548170108,0.9917108935536358,-0.0029906546164722102,-0.0005747126436781436,0.0127228409435179,0.9918067226890757,0.13823529411764707,37.716571412999656
18,3,9,k3-policy09,cosine,0.75,0.5,1.0,cross_session,680,34,20,0.994701548170108,0.9912585778104602,-0.0034429703596478138,-0.0023052362707533984,0.014141063913014597,0.991360294117647,0.14411764705882352,39.109006035000675
19,3,26,k3-policy26,sqeuclidean,0.75,0.5,0.5,cross_session,680,34,20,0.994701548170108,0.991137629079816,-0.003563919090292149,-0.017879948914431676,0.018971832511419155,0.9911764705882353,0.1323529411764706,37.99069903599957
20,3,3,k3-policy03,cosine,0.5,0.5,1.0,cross_session,680,34,20,0.994701548170108,0.9909318539426522,-0.00376969422745589,-0.017879948914431676,0.016315509947414555,0.9910451680672268,0.1323529411764706,39.97634031199959
21,3,20,k3-policy20,sqeuclidean,0.5,0.5,0.5,cross_session,680,34,20,0.994701548170108,0.9899832351257553,-0.004718313044352662,-0.017879948914431676,0.02032531944719325,0.9900472689075631,0.1676470588235294,38.01297327300017
22,3,8,k3-policy08,cosine,0.75,0.5,0.5,cross_session,680,34,20,0.994701548170108,0.9870562462592315,-0.007645301910876637,-0.0182961124896609,0.024352598349325884,0.9871586134453781,0.21911764705882353,40.02611897599945
23,3,14,k3-policy14,cosine,1.0,0.5,0.5,cross_session,680,34,20,0.994701548170108,0.986371266983848,-0.008330281186260008,-0.0182961124896609,0.025888523292859962,0.9864758403361344,0.21470588235294116,39.09551456900044
24,3,23,k3-policy23,sqeuclidean,0.5,0.75,1.0,cross_session,680,34,20,0.994701548170108,0.9855783718050469,-0.009123176365061006,-0.017879948914431676,0.031116400243790084,0.9857930672268909,0.22794117647058823,38.06875369000045
25,3,2,k3-policy02,cosine,0.5,0.5,0.5,cross_session,680,34,20,0.994701548170108,0.9849595366452633,-0.009742011524844664,-0.0182961124896609,0.028342459478453177,0.9851628151260503,0.23970588235294119,39.720359576999726
26,3,29,k3-policy29,sqeuclidean,0.75,0.75,1.0,cross_session,680,34,20,0.994701548170108,0.9800409016449552,-0.014660646525153035,-0.035897435897435784,0.04796176143236129,0.9811449579831935,0.21176470588235294,38.90777602199978
27,3,11,k3-policy11,cosine,0.75,0.75,1.0,cross_session,680,34,20,0.994701548170108,0.9790323441278673,-0.015669204042240717,-0.03929571952375066,0.037366185825711544,0.9795955882352941,0.3088235294117647,39.6646367379999
28,3,5,k3-policy05,cosine,0.5,0.75,1.0,cross_session,680,34,20,0.994701548170108,0.9776177531291123,-0.01708379504099567,-0.05531748312351754,0.034762366016925166,0.9779936974789915,0.3352941176470588,39.65978901200015
29,3,17,k3-policy17,cosine,1.0,0.75,1.0,cross_session,680,34,20,0.994701548170108,0.9765897086286438,-0.018111839541464104,-0.05419354838709678,0.044238012896433046,0.9776260504201679,0.33676470588235297,38.425539315000606
30,3,22,k3-policy22,sqeuclidean,0.5,0.75,0.5,cross_session,680,34,20,0.994701548170108,0.9681918073200386,-0.026509740850069404,-0.09009098428453277,0.05304659205703198,0.9691439075630252,0.4441176470588235,39.86433348100036
31,3,35,k3-policy35,sqeuclidean,1.0,0.75,1.0,cross_session,680,34,20,0.994701548170108,0.9674751695179613,-0.02722637865214667,-0.1232770776773775,0.06672602284096787,0.9702993697478993,0.275,38.172011175999614
32,3,28,k3-policy28,sqeuclidean,0.75,0.75,0.5,cross_session,680,34,20,0.994701548170108,0.954409510420146,-0.04029203774996204,-0.15121328224776498,0.07541249322401429,0.9577993697478991,0.4808823529411765,40.04419694399985
33,3,10,k3-policy10,cosine,0.75,0.75,0.5,cross_session,680,34,20,0.994701548170108,0.9514200451892454,-0.0432815029808627,-0.10990418894830659,0.06658584457473835,0.9540441176470589,0.6691176470588235,38.79558861799978
34,3,4,k3-policy04,cosine,0.5,0.75,0.5,cross_session,680,34,20,0.994701548170108,0.9512204927076906,-0.043481055462417234,-0.11229946524064172,0.06167438715288903,0.953545168067227,0.675,37.98570514599942
35,3,16,k3-policy16,cosine,1.0,0.75,0.5,cross_session,680,34,20,0.994701548170108,0.9445077666925947,-0.0501937814775133,-0.1333333333333333,0.07235658943790549,0.9477941176470588,0.6764705882352942,39.06696859099975
36,3,34,k3-policy34,sqeuclidean,1.0,0.75,0.5,cross_session,680,34,20,0.994701548170108,0.9343668617609521,-0.06033468640915602,-0.22255831148753114,0.09522051327998254,0.9413077731092437,0.5617647058823529,39.9031945200004
