k,arm,score_name,threshold,coverage,selective_risk,selective_accuracy,accepted_count,abstained_count
2,p0,one_minus_normalized_entropy,0.3066254502477723,1.0,0.007518796992481203,0.9924812030075187,532,0
2,p0,one_minus_normalized_entropy,0.675604460930967,0.9887218045112782,0.005703422053231939,0.9942965779467681,526,6
2,p0,one_minus_normalized_entropy,0.7972943732021923,0.9793233082706767,0.003838771593090211,0.9961612284069098,521,11
2,p0,one_minus_normalized_entropy,0.8708691850377179,0.9699248120300752,0.0,1.0,516,16
2,p0,one_minus_normalized_entropy,0.8993139562080724,0.9586466165413534,0.0,1.0,510,22
2,p0,one_minus_normalized_entropy,0.9118809223760227,0.9492481203007519,0.0,1.0,505,27
2,p0,one_minus_normalized_entropy,0.9282081043133522,0.9398496240601504,0.0,1.0,500,32
2,p0,one_minus_normalized_entropy,0.9565737206065513,0.9285714285714286,0.0,1.0,494,38
2,p0,one_minus_normalized_entropy,0.9655561385549034,0.9191729323308271,0.0,1.0,489,43
2,p0,one_minus_normalized_entropy,0.9786978623149082,0.9097744360902256,0.0,1.0,484,48
2,p0,one_minus_normalized_entropy,0.983807302174292,0.8984962406015038,0.0,1.0,478,54
2,p0,one_minus_normalized_entropy,0.9847170903459418,0.8890977443609023,0.0,1.0,473,59
2,p0,one_minus_normalized_entropy,0.9888161697554312,0.8796992481203008,0.0,1.0,468,64
2,p0,one_minus_normalized_entropy,0.9901309480463877,0.868421052631579,0.0,1.0,462,70
2,p0,one_minus_normalized_entropy,0.9912762426140469,0.8590225563909775,0.0,1.0,457,75
2,p0,one_minus_normalized_entropy,0.992531293695851,0.849624060150376,0.0,1.0,452,80
2,p0,one_minus_normalized_entropy,0.9931345973230763,0.8402255639097744,0.0,1.0,447,85
2,p0,one_minus_normalized_entropy,0.9942591789209491,0.8289473684210527,0.0,1.0,441,91
2,p0,one_minus_normalized_entropy,0.9949109443382158,0.8195488721804511,0.0,1.0,436,96
2,p0,one_minus_normalized_entropy,0.9956126812303695,0.8101503759398496,0.0,1.0,431,101
2,p0,one_minus_normalized_entropy,0.99635145299533,0.7988721804511278,0.0,1.0,425,107
2,p0,one_minus_normalized_entropy,0.9965966239238035,0.7894736842105263,0.0,1.0,420,112
2,p0,one_minus_normalized_entropy,0.9968274939274997,0.7800751879699248,0.0,1.0,415,117
2,p0,one_minus_normalized_entropy,0.9971908659689614,0.768796992481203,0.0,1.0,409,123
2,p0,one_minus_normalized_entropy,0.9974766965404982,0.7593984962406015,0.0,1.0,404,128
2,p0,one_minus_normalized_entropy,0.9977719131027007,0.75,0.0,1.0,399,133
2,p0,one_minus_normalized_entropy,0.9980303180946034,0.7387218045112782,0.0,1.0,393,139
2,p0,one_minus_normalized_entropy,0.9981259027226167,0.7293233082706767,0.0,1.0,388,144
2,p0,one_minus_normalized_entropy,0.998265128126962,0.7199248120300752,0.0,1.0,383,149
2,p0,one_minus_normalized_entropy,0.9984953404772607,0.7105263157894737,0.0,1.0,378,154
2,p0,one_minus_normalized_entropy,0.9986817553791907,0.6992481203007519,0.0,1.0,372,160
2,p0,one_minus_normalized_entropy,0.9988394928417712,0.6898496240601504,0.0,1.0,367,165
2,p0,one_minus_normalized_entropy,0.9989828079381292,0.6804511278195489,0.0,1.0,362,170
2,p0,one_minus_normalized_entropy,0.9990443365432282,0.6691729323308271,0.0,1.0,356,176
2,p0,one_minus_normalized_entropy,0.9990924751496089,0.6597744360902256,0.0,1.0,351,181
2,p0,one_minus_normalized_entropy,0.9991578270782496,0.650375939849624,0.0,1.0,346,186
2,p0,one_minus_normalized_entropy,0.9992671173962987,0.6390977443609023,0.0,1.0,340,192
2,p0,one_minus_normalized_entropy,0.9993830493469954,0.6296992481203008,0.0,1.0,335,197
2,p0,one_minus_normalized_entropy,0.9994523245917453,0.6203007518796992,0.0,1.0,330,202
2,p0,one_minus_normalized_entropy,0.9995198793078903,0.6090225563909775,0.0,1.0,324,208
2,p0,one_minus_normalized_entropy,0.9996037842682824,0.599624060150376,0.0,1.0,319,213
2,p0,one_minus_normalized_entropy,0.9996594287937256,0.5902255639097744,0.0,1.0,314,218
2,p0,one_minus_normalized_entropy,0.9996868586990064,0.5789473684210527,0.0,1.0,308,224
2,p0,one_minus_normalized_entropy,0.9997177164296328,0.5695488721804511,0.0,1.0,303,229
2,p0,one_minus_normalized_entropy,0.9998082354741942,0.5601503759398496,0.0,1.0,298,234
2,p0,one_minus_normalized_entropy,0.9998518556235663,0.5507518796992481,0.0,1.0,293,239
2,p0,one_minus_normalized_entropy,0.9998811845594978,0.5394736842105263,0.0,1.0,287,245
2,p0,one_minus_normalized_entropy,0.999918855617383,0.5300751879699248,0.0,1.0,282,250
2,p0,one_minus_normalized_entropy,0.9999380065741367,0.5206766917293233,0.0,1.0,277,255
2,p0,one_minus_normalized_entropy,0.9999566052588079,0.5093984962406015,0.0,1.0,271,261
2,p0,one_minus_normalized_entropy,0.9999683518451514,0.5,0.0,1.0,266,266
2,p0,one_minus_normalized_entropy,0.9999749675764701,0.4906015037593985,0.0,1.0,261,271
2,p0,one_minus_normalized_entropy,0.9999805851463573,0.4793233082706767,0.0,1.0,255,277
2,p0,one_minus_normalized_entropy,0.9999879140296973,0.4699248120300752,0.0,1.0,250,282
2,p0,one_minus_normalized_entropy,0.9999904692727876,0.4605263157894737,0.0,1.0,245,287
2,p0,one_minus_normalized_entropy,0.9999954855645197,0.4492481203007519,0.0,1.0,239,293
2,p0,one_minus_normalized_entropy,0.9999965232235635,0.4398496240601504,0.0,1.0,234,298
2,p0,one_minus_normalized_entropy,0.9999972010701049,0.43045112781954886,0.0,1.0,229,303
2,p0,one_minus_normalized_entropy,0.9999977503920878,0.42105263157894735,0.0,1.0,224,308
2,p0,one_minus_normalized_entropy,0.9999982950007057,0.40977443609022557,0.0,1.0,218,314
2,p0,one_minus_normalized_entropy,0.9999989893035184,0.40037593984962405,0.0,1.0,213,319
2,p0,one_minus_normalized_entropy,0.9999994105324436,0.39097744360902253,0.0,1.0,208,324
2,p0,one_minus_normalized_entropy,0.999999669036186,0.37969924812030076,0.0,1.0,202,330
2,p0,one_minus_normalized_entropy,0.999999751789821,0.37030075187969924,0.0,1.0,197,335
2,p0,one_minus_normalized_entropy,0.9999998042501324,0.3609022556390977,0.0,1.0,192,340
2,p0,one_minus_normalized_entropy,0.9999998839718132,0.34962406015037595,0.0,1.0,186,346
2,p0,one_minus_normalized_entropy,0.9999999141881633,0.34022556390977443,0.0,1.0,181,351
2,p0,one_minus_normalized_entropy,0.9999999398069467,0.3308270676691729,0.0,1.0,176,356
2,p0,one_minus_normalized_entropy,0.9999999572424332,0.31954887218045114,0.0,1.0,170,362
2,p0,one_minus_normalized_entropy,0.9999999822970046,0.3101503759398496,0.0,1.0,165,367
2,p0,one_minus_normalized_entropy,0.9999999848378146,0.3007518796992481,0.0,1.0,160,372
2,p0,one_minus_normalized_entropy,0.9999999907985732,0.2894736842105263,0.0,1.0,154,378
2,p0,one_minus_normalized_entropy,0.9999999929982974,0.2800751879699248,0.0,1.0,149,383
2,p0,one_minus_normalized_entropy,0.999999996124841,0.2706766917293233,0.0,1.0,144,388
2,p0,one_minus_normalized_entropy,0.9999999978010736,0.26127819548872183,0.0,1.0,139,393
2,p0,one_minus_normalized_entropy,0.9999999990912158,0.25,0.0,1.0,133,399
2,p0,one_minus_normalized_entropy,0.9999999994072796,0.24060150375939848,0.0,1.0,128,404
2,p0,one_minus_normalized_entropy,0.9999999996352493,0.231203007518797,0.0,1.0,123,409
2,p0,one_minus_normalized_entropy,0.9999999998254984,0.2199248120300752,0.0,1.0,117,415
2,p0,one_minus_normalized_entropy,0.9999999999490742,0.21052631578947367,0.0,1.0,112,420
2,p0,one_minus_normalized_entropy,0.9999999999702464,0.20112781954887218,0.0,1.0,107,425
2,p0,one_minus_normalized_entropy,0.9999999999932412,0.18984962406015038,0.0,1.0,101,431
2,p0,one_minus_normalized_entropy,0.9999999999975268,0.18045112781954886,0.0,1.0,96,436
2,p0,one_minus_normalized_entropy,0.9999999999990434,0.17105263157894737,0.0,1.0,91,441
2,p0,one_minus_normalized_entropy,0.9999999999999466,0.16165413533834586,0.0,1.0,86,446
2,p0,one_minus_normalized_entropy,0.999999999999972,0.15037593984962405,0.0,1.0,80,452
2,p0,one_minus_normalized_entropy,0.9999999999999837,0.14097744360902256,0.0,1.0,75,457
2,p0,one_minus_normalized_entropy,0.9999999999999927,0.13157894736842105,0.0,1.0,70,462
2,p0,one_minus_normalized_entropy,0.9999999999999988,0.12030075187969924,0.0,1.0,64,468
2,p0,one_minus_normalized_entropy,0.9999999999999999,0.11090225563909774,0.0,1.0,59,473
2,p0,one_minus_normalized_entropy,1.0,0.11090225563909774,0.0,1.0,59,473
2,p1,max_probability,0.5795950926824478,1.0,0.007518796992481203,0.9924812030075187,532,0
2,p1,max_probability,0.768436734679244,0.9887218045112782,0.005703422053231939,0.9942965779467681,526,6
2,p1,max_probability,0.9420001461654554,0.9793233082706767,0.003838771593090211,0.9961612284069098,521,11
2,p1,max_probability,0.971529173383978,0.9699248120300752,0.0,1.0,516,16
2,p1,max_probability,0.978215411428633,0.9586466165413534,0.0,1.0,510,22
2,p1,max_probability,0.9842516542444928,0.9492481203007519,0.0,1.0,505,27
2,p1,max_probability,0.9901587478425705,0.9398496240601504,0.0,1.0,500,32
2,p1,max_probability,0.9947470263245505,0.9285714285714286,0.0,1.0,494,38
2,p1,max_probability,0.9958878969237778,0.9191729323308271,0.0,1.0,489,43
2,p1,max_probability,0.9968843536385709,0.9097744360902256,0.0,1.0,484,48
2,p1,max_probability,0.9976354297893688,0.8984962406015038,0.0,1.0,478,54
2,p1,max_probability,0.997924727167018,0.8890977443609023,0.0,1.0,473,59
2,p1,max_probability,0.998343487268383,0.8796992481203008,0.0,1.0,468,64
2,p1,max_probability,0.9986649705924135,0.868421052631579,0.0,1.0,462,70
2,p1,max_probability,0.9988259104325363,0.8590225563909775,0.0,1.0,457,75
2,p1,max_probability,0.9989284970014329,0.849624060150376,0.0,1.0,452,80
2,p1,max_probability,0.9990966333042328,0.8402255639097744,0.0,1.0,447,85
2,p1,max_probability,0.9992638898130917,0.8289473684210527,0.0,1.0,441,91
2,p1,max_probability,0.999347092389457,0.8195488721804511,0.0,1.0,436,96
2,p1,max_probability,0.9994274545835696,0.8101503759398496,0.0,1.0,431,101
