k,arm,score_name,threshold,coverage,selective_risk,selective_accuracy,accepted_count,abstained_count
2,p0,one_minus_normalized_entropy,0.22965780397224686,0.9397590361445783,0.1794871794871795,0.8205128205128205,78,5
2,p0,one_minus_normalized_entropy,0.23697526401163926,0.927710843373494,0.18181818181818182,0.8181818181818182,77,6
2,p0,one_minus_normalized_entropy,0.2417225903701971,0.9156626506024096,0.17105263157894737,0.8289473684210527,76,7
2,p0,one_minus_normalized_entropy,0.24412480137777115,0.9036144578313253,0.16,0.84,75,8
2,p0,one_minus_normalized_entropy,0.24705555044545222,0.891566265060241,0.14864864864864866,0.8513513513513513,74,9
2,p0,one_minus_normalized_entropy,0.25563293908007906,0.8795180722891566,0.1506849315068493,0.8493150684931506,73,10
2,p0,one_minus_normalized_entropy,0.2639819116303505,0.8795180722891566,0.1506849315068493,0.8493150684931506,73,10
2,p0,one_minus_normalized_entropy,0.26561097944503764,0.8795180722891566,0.1506849315068493,0.8493150684931506,73,10
2,p0,one_minus_normalized_entropy,0.2656109794450377,0.8554216867469879,0.14084507042253522,0.8591549295774648,71,12
2,p0,one_minus_normalized_entropy,0.26609250081033936,0.8433734939759037,0.14285714285714285,0.8571428571428571,70,13
2,p0,one_minus_normalized_entropy,0.26760321944780047,0.8313253012048193,0.13043478260869565,0.8695652173913043,69,14
2,p0,one_minus_normalized_entropy,0.27024887281258664,0.8313253012048193,0.13043478260869565,0.8695652173913043,69,14
2,p0,one_minus_normalized_entropy,0.2749970152406836,0.8192771084337349,0.11764705882352941,0.8823529411764706,68,15
2,p0,one_minus_normalized_entropy,0.28808251527276074,0.8072289156626506,0.11940298507462686,0.8805970149253731,67,16
2,p0,one_minus_normalized_entropy,0.2982333914250788,0.7951807228915663,0.12121212121212122,0.8787878787878788,66,17
2,p0,one_minus_normalized_entropy,0.301301375719541,0.7831325301204819,0.1076923076923077,0.8923076923076924,65,18
2,p0,one_minus_normalized_entropy,0.3036562164735801,0.7710843373493976,0.109375,0.890625,64,19
2,p0,one_minus_normalized_entropy,0.31610128261675663,0.7710843373493976,0.109375,0.890625,64,19
2,p0,one_minus_normalized_entropy,0.32066380063701627,0.7590361445783133,0.1111111111111111,0.8888888888888888,63,20
2,p0,one_minus_normalized_entropy,0.32181097740405684,0.7590361445783133,0.1111111111111111,0.8888888888888888,63,20
2,p0,one_minus_normalized_entropy,0.3221931704674891,0.7349397590361446,0.09836065573770492,0.9016393442622951,61,22
2,p0,one_minus_normalized_entropy,0.3243846959763248,0.7228915662650602,0.1,0.9,60,23
2,p0,one_minus_normalized_entropy,0.3324638352921437,0.7228915662650602,0.1,0.9,60,23
2,p0,one_minus_normalized_entropy,0.3382922439002428,0.7108433734939759,0.1016949152542373,0.8983050847457628,59,24
2,p0,one_minus_normalized_entropy,0.3472787888776813,0.6987951807228916,0.10344827586206896,0.896551724137931,58,25
2,p0,one_minus_normalized_entropy,0.3547754073088947,0.6867469879518072,0.10526315789473684,0.8947368421052632,57,26
2,p0,one_minus_normalized_entropy,0.364614828700884,0.6746987951807228,0.10714285714285714,0.8928571428571429,56,27
2,p0,one_minus_normalized_entropy,0.38536064052999025,0.6626506024096386,0.10909090909090909,0.8909090909090909,55,28
2,p0,one_minus_normalized_entropy,0.3941087679044314,0.6626506024096386,0.10909090909090909,0.8909090909090909,55,28
2,p0,one_minus_normalized_entropy,0.40476831751634074,0.6506024096385542,0.1111111111111111,0.8888888888888888,54,29
2,p0,one_minus_normalized_entropy,0.4102400728649147,0.6385542168674698,0.09433962264150944,0.9056603773584906,53,30
2,p0,one_minus_normalized_entropy,0.41662360282469846,0.6265060240963856,0.09615384615384616,0.9038461538461539,52,31
2,p0,one_minus_normalized_entropy,0.4264133155800579,0.6265060240963856,0.09615384615384616,0.9038461538461539,52,31
2,p0,one_minus_normalized_entropy,0.4419522867715251,0.5903614457831325,0.10204081632653061,0.8979591836734694,49,34
2,p0,one_minus_normalized_entropy,0.45147617234048865,0.5903614457831325,0.10204081632653061,0.8979591836734694,49,34
2,p0,one_minus_normalized_entropy,0.4654595067696451,0.5662650602409639,0.10638297872340426,0.8936170212765957,47,36
2,p0,one_minus_normalized_entropy,0.5058846540335792,0.5542168674698795,0.10869565217391304,0.8913043478260869,46,37
2,p0,one_minus_normalized_entropy,0.5123055225460074,0.5542168674698795,0.10869565217391304,0.8913043478260869,46,37
