combo_id,feature_arm,feature_dimension,model_id,fold_id,status,train_rows,validation_rows,train_subjects,validation_subjects,validation_repetitions,fit_predict_seconds,warning_count,warning_messages,window_accuracy,window_balanced_accuracy,window_macro_f1,window_weighted_f1,window_macro_precision,window_macro_recall,window_cohen_kappa,repetition_accuracy,repetition_balanced_accuracy,repetition_macro_f1,repetition_weighted_f1,repetition_macro_precision,repetition_macro_recall,repetition_cohen_kappa,subject_macro_f1_mean,subject_macro_f1_std,subject_balanced_accuracy_mean
F-TD8__logistic_regression,F-TD8,24,logistic_regression,0,COMPLETED,29397,8260,25,7,140,8.159890294999968,2,"['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.', 'datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).']",0.6933414043583536,0.6933414043583536,0.6921054904344325,0.6921054904344326,0.6970546021395914,0.6933414043583536,0.5911218724778047,0.7428571428571429,0.7428571428571428,0.7371794871794872,0.7371794871794872,0.7422375864236329,0.7428571428571428,0.6571428571428571,0.6896967120181406,0.13224030845589863,0.7428571428571429
F-TD8__logistic_regression,F-TD8,24,logistic_regression,1,COMPLETED,30577,7080,26,6,120,5.4360345630002485,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.6781073446327683,0.6781073446327683,0.6658600281829683,0.6658600281829683,0.677178752427807,0.6781073446327683,0.5708097928436912,0.8,0.8,0.7876494104672473,0.7876494104672472,0.8227835213032582,0.8,0.7333333333333334,0.7681878306878307,0.16879058007190711,0.7999999999999999
F-TD8__logistic_regression,F-TD8,24,logistic_regression,2,COMPLETED,30680,6977,26,6,119,4.716634934000012,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.7056041278486456,0.704025093576903,0.703050722112712,0.7049840952166677,0.7074475639317568,0.704025093576903,0.6075826788872412,0.7899159663865546,0.789080459770115,0.7892665130568357,0.7904774813151068,0.7925407925407926,0.789080459770115,0.7199736445783133,0.7475755725755726,0.11451587479535828,0.7854166666666668
F-TD8__logistic_regression,F-TD8,24,logistic_regression,3,COMPLETED,30577,7080,26,6,120,8.329493176999677,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.6690677966101695,0.6690677966101695,0.6674261332505944,0.6674261332505944,0.6747634096683701,0.6690677966101695,0.5587570621468927,0.7083333333333334,0.7083333333333333,0.7076290470421579,0.7076290470421578,0.7267639767639767,0.7083333333333333,0.6111111111111112,0.6725882913382913,0.09922921529920636,0.7083333333333334
F-TD8__logistic_regression,F-TD8,24,logistic_regression,4,COMPLETED,29397,8260,25,7,140,3.991043740999885,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.5843825665859564,0.5843825665859564,0.5882972156503208,0.5882972156503207,0.6033282910386155,0.5843825665859564,0.4458434221146086,0.5857142857142857,0.5857142857142856,0.5880942341329335,0.5880942341329335,0.6102828054298642,0.5857142857142856,0.4476190476190476,0.5301676246501544,0.2555348545989901,0.5857142857142857
F-SP6__logistic_regression,F-SP6,18,logistic_regression,0,COMPLETED,29397,8260,25,7,140,4.448479266000049,2,"['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.', 'datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).']",0.6041162227602905,0.6041162227602905,0.6092351419743633,0.6092351419743633,0.6186742384243327,0.6041162227602905,0.47215496368038745,0.6642857142857143,0.6642857142857143,0.663891242189982,0.663891242189982,0.6690137437088657,0.6642857142857143,0.5523809523809524,0.637728144871002,0.15333123059262466,0.6642857142857144
F-SP6__logistic_regression,F-SP6,18,logistic_regression,1,COMPLETED,30577,7080,26,6,120,9.441678810999747,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.6519774011299435,0.6519774011299435,0.6528590470350484,0.6528590470350485,0.6674628252276785,0.6519774011299435,0.535969868173258,0.7583333333333333,0.7583333333333333,0.7513788001076136,0.7513788001076136,0.7700069138363149,0.7583333333333333,0.6777777777777778,0.7245040838790838,0.13444548385238525,0.7583333333333333
F-SP6__logistic_regression,F-SP6,18,logistic_regression,2,COMPLETED,30680,6977,26,6,119,4.558917291999933,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.5809087000143328,0.5798339714012821,0.5714703355683076,0.5729262936401494,0.5825548336611726,0.5798339714012821,0.4415498045263302,0.6302521008403361,0.6301724137931035,0.6262194378391561,0.627220926783005,0.6737012987012987,0.6301724137931035,0.5075707702435812,0.576587338100496,0.17795311777429376,0.63125
F-SP6__logistic_regression,F-SP6,18,logistic_regression,3,COMPLETED,30577,7080,26,6,120,8.864483608000228,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.6574858757062146,0.6574858757062148,0.6480655582004091,0.648065558200409,0.6698653771284279,0.6574858757062148,0.5433145009416196,0.7333333333333333,0.7333333333333334,0.7223395510861912,0.7223395510861912,0.7720432350366561,0.7333333333333334,0.6444444444444444,0.7047797654415301,0.12096385055537966,0.7333333333333333
F-SP6__logistic_regression,F-SP6,18,logistic_regression,4,COMPLETED,29397,8260,25,7,140,5.279113514000073,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.6009685230024213,0.6009685230024213,0.6064236665373987,0.6064236665373987,0.6252540001213607,0.6009685230024213,0.46795803066989505,0.6142857142857143,0.6142857142857143,0.6169346826274378,0.6169346826274378,0.6512201591511936,0.6142857142857143,0.48571428571428577,0.5514294234440188,0.2263136378079879,0.6142857142857144
