subject_id,session_id,task_label,median_cosine,median_pearson,median_normalized_euclidean,pair_count
37,session-1,hand_close,0.4416334331035614,0.4572268545576792,1.1710938215255737,10
37,session-1,rest,0.29008470475673676,0.34555442182914575,0.9726700782775879,10
37,session-1,wrist_extension,0.9267806112766266,0.8821052074919105,0.8990736305713654,10
37,session-1,wrist_flexion,0.5095074772834778,0.47026154768636497,1.1025320291519165,10
38,session-1,hand_close,0.9379653036594391,0.9279252088485068,0.21058239042758942,10
38,session-1,rest,0.923200786113739,0.9109642868943022,0.1650143638253212,10
38,session-1,wrist_extension,0.9597404301166534,0.9549005869197018,0.22996605187654495,10
38,session-1,wrist_flexion,0.9103161692619324,0.8903139065014802,0.2868673652410507,10
39,session-1,hand_close,0.7853634059429169,0.6380371749693599,0.4882536232471466,10
39,session-1,rest,0.7251979112625122,0.5562130896324453,0.5431433022022247,10
39,session-1,wrist_extension,0.8340916931629181,0.8302556256007358,0.4487009048461914,10
39,session-1,wrist_flexion,0.481551855802536,0.33065389801894784,0.7422667741775513,10
4,session-1,hand_close,0.9000064730644226,0.9105181654111032,0.23798558861017227,10
4,session-1,rest,0.739509254693985,0.7433530494553527,0.44700515270233154,10
4,session-1,wrist_extension,0.9735856354236603,0.9699629910130485,0.5648978054523468,10
4,session-1,wrist_flexion,0.7903385758399963,0.8140441460980846,0.3868389129638672,10
40,session-1,hand_close,0.80687215924263,0.8019445887589947,0.3957129120826721,10
40,session-1,rest,0.6693786084651947,0.6361623905916157,0.49225470423698425,10
40,session-1,wrist_extension,0.8513264954090118,0.8185234914759576,0.8459967076778412,10
40,session-1,wrist_flexion,0.7497524321079254,0.7956279576486225,0.887961357831955,10
5,session-1,hand_close,0.8277837038040161,0.8332385544734029,0.42403168976306915,10
5,session-1,rest,0.6008526682853699,0.5863425817395196,0.58698371052742,10
5,session-1,wrist_extension,0.9583822190761566,0.9437584089566504,0.423872634768486,10
5,session-1,wrist_flexion,0.8355768918991089,0.8376199010046816,0.435722291469574,10
6,session-1,hand_close,0.9741598665714264,0.9747481886444924,0.1621498242020607,10
6,session-1,rest,0.9433501958847046,0.9434420615158331,0.20486347377300262,10
6,session-1,wrist_extension,0.9552983045578003,0.9402264982295834,0.59140345454216,10
6,session-1,wrist_flexion,0.8022404909133911,0.7958737148430397,0.40439532697200775,10
7,session-1,hand_close,0.4591202586889267,0.41610330060696477,0.5685551166534424,10
7,session-1,rest,0.7059022784233093,0.7054193847841591,0.489447683095932,10
7,session-1,wrist_extension,0.9241436123847961,0.8992893834973309,0.5812526345252991,10
7,session-1,wrist_flexion,0.6857612133026123,0.7216510780649552,0.6685998439788818,10
8,session-1,hand_close,0.6282856464385986,0.5935234171411099,0.6163299083709717,10
8,session-1,rest,0.6201043725013733,0.5111501110220298,0.6409334540367126,10
8,session-1,wrist_extension,0.906730055809021,0.8991208081348979,0.6099740862846375,10
8,session-1,wrist_flexion,0.7771012783050537,0.6166298453126783,0.5317866504192352,10
9,session-1,hand_close,0.4536402076482773,0.43277825426140726,0.5277134627103806,10
9,session-1,rest,0.780063658952713,0.6538276022560764,0.4369422644376755,10
9,session-1,wrist_extension,0.733474999666214,0.6638124275396059,0.544684961438179,10
9,session-1,wrist_flexion,0.4888792186975479,0.40597415553323735,0.6293402314186096,10
