candidate_id,feature_arm,model_name,fold,feature_dimension,fit_windows,holdout_windows,holdout_trials,holdout_subjects,fit_seconds,window_accuracy,window_balanced_accuracy,window_macro_f1,window_weighted_f1,window_macro_precision,window_macro_recall,window_cohen_kappa,trial_accuracy,trial_balanced_accuracy,trial_macro_f1,trial_weighted_f1,trial_macro_precision,trial_macro_recall,trial_cohen_kappa
F-SP6__dummy_most_frequent,F-SP6,dummy_most_frequent,3,96,108864,28224,588,7,1.0648436439998932,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-SP6__dummy_most_frequent,F-SP6,dummy_most_frequent,4,96,108864,28224,588,7,0.6575482869998268,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-SP6__lda_shrinkage,F-SP6,lda_shrinkage,0,96,108864,28224,588,7,1.6948441060001187,0.824015022675737,0.824015022675737,0.8264260642545269,0.8264260642545268,0.8346129959139507,0.824015022675737,0.7653533635676493,0.9132653061224489,0.9132653061224489,0.9135674356221404,0.9135674356221403,0.9152309280554616,0.9132653061224489,0.8843537414965986
F-SP6__lda_shrinkage,F-SP6,lda_shrinkage,1,96,108864,28224,588,7,1.6081378850001329,0.7780612244897959,0.778061224489796,0.780296603305522,0.7802966033055219,0.7960687043243065,0.778061224489796,0.7040816326530612,0.8469387755102041,0.846938775510204,0.847365223355143,0.8473652233551431,0.8603527524709791,0.846938775510204,0.7959183673469388
F-SP6__lda_shrinkage,F-SP6,lda_shrinkage,2,96,112896,24192,504,6,1.7890596970000843,0.8482969576719577,0.8482969576719577,0.852556099747355,0.852556099747355,0.8710656793094704,0.8482969576719577,0.7977292768959435,0.9246031746031746,0.9246031746031745,0.9257036195570475,0.9257036195570475,0.9361874236874237,0.9246031746031745,0.8994708994708995
F-SP6__lda_shrinkage,F-SP6,lda_shrinkage,3,96,108864,28224,588,7,4.684297633999904,0.8431831065759637,0.8431831065759636,0.8452167415099741,0.8452167415099741,0.850814519417985,0.8431831065759636,0.7909108087679516,0.923469387755102,0.9234693877551021,0.9236230565775385,0.9236230565775384,0.924049747245138,0.9234693877551021,0.8979591836734694
F-SP6__lda_shrinkage,F-SP6,lda_shrinkage,4,96,108864,28224,588,7,1.9405679039998631,0.8017998866213152,0.8017998866213152,0.7984422519698043,0.7984422519698042,0.8012582429704942,0.8017998866213152,0.7357331821617537,0.8571428571428571,0.8571428571428571,0.8521440517825984,0.8521440517825983,0.858131454500019,0.8571428571428571,0.8095238095238095
F-SP6__logistic_regression,F-SP6,logistic_regression,0,96,108864,28224,588,7,59.910339169999816,0.9319019274376418,0.9319019274376418,0.9320209420718418,0.9320209420718418,0.9337699381822833,0.9319019274376418,0.9092025699168557,0.9727891156462585,0.9727891156462585,0.9729252071241717,0.9729252071241716,0.9734731978107687,0.9727891156462585,0.963718820861678
F-SP6__logistic_regression,F-SP6,logistic_regression,1,96,108864,28224,588,7,72.47813408699994,0.9274022108843537,0.9274022108843537,0.9269250271833389,0.926925027183339,0.9278855809938042,0.9274022108843537,0.903202947845805,0.9659863945578231,0.9659863945578231,0.9659255596220451,0.9659255596220451,0.967439974183418,0.9659863945578231,0.9546485260770975
F-SP6__logistic_regression,F-SP6,logistic_regression,2,96,112896,24192,504,6,82.92494513499992,0.9308862433862434,0.9308862433862434,0.9312558441964047,0.9312558441964048,0.9368393127205555,0.9308862433862434,0.9078483245149912,0.9761904761904762,0.9761904761904763,0.9762186763266414,0.9762186763266414,0.9776176470588236,0.9761904761904763,0.9682539682539683
F-SP6__logistic_regression,F-SP6,logistic_regression,3,96,108864,28224,588,7,74.75515807400006,0.9402990362811792,0.9402990362811792,0.940346859905524,0.9403468599055239,0.9422143567184728,0.9402990362811792,0.9203987150415722,0.9795918367346939,0.979591836734694,0.9795522340451924,0.9795522340451924,0.9802195887068665,0.979591836734694,0.9727891156462585
F-SP6__logistic_regression,F-SP6,logistic_regression,4,96,108864,28224,588,7,80.24326782599996,0.9246740362811792,0.9246740362811792,0.9245720335360907,0.9245720335360906,0.9254766732827625,0.9246740362811792,0.8995653817082389,0.9625850340136054,0.9625850340136055,0.9624902287458135,0.9624902287458135,0.9640202157715732,0.9625850340136055,0.9501133786848073
F-SP6__linear_svm,F-SP6,linear_svm,0,96,108864,28224,588,7,49.05188593699995,0.9296697845804989,0.9296697845804989,0.9299062346087708,0.9299062346087708,0.931961245747175,0.9296697845804989,0.9062263794406652,0.9710884353741497,0.9710884353741496,0.9712740085568121,0.9712740085568121,0.9719547253754883,0.9710884353741496,0.9614512471655329
F-SP6__linear_svm,F-SP6,linear_svm,1,96,108864,28224,588,7,175.53568612899994,0.9150722789115646,0.9150722789115646,0.9144256681173836,0.9144256681173836,0.9153723549404066,0.9150722789115646,0.8867630385487528,0.9659863945578231,0.9659863945578231,0.9659230809672507,0.9659230809672505,0.9668425121726543,0.9659863945578231,0.9546485260770975
F-SP6__linear_svm,F-SP6,linear_svm,2,96,112896,24192,504,6,64.78685445199994,0.927786044973545,0.9277860449735449,0.9281328607176118,0.9281328607176118,0.934507183360273,0.9277860449735449,0.9037147266313933,0.9821428571428571,0.9821428571428572,0.9819856107817804,0.9819856107817804,0.9828224101479915,0.9821428571428572,0.9761904761904762
F-SP6__linear_svm,F-SP6,linear_svm,3,96,108864,28224,588,7,115.43038132499987,0.9403344671201814,0.9403344671201814,0.9405303787981332,0.9405303787981332,0.9428147176880045,0.9403344671201814,0.9204459561602418,0.9795918367346939,0.9795918367346939,0.979598789124162,0.979598789124162,0.9799522130544931,0.9795918367346939,0.9727891156462585
F-SP6__linear_svm,F-SP6,linear_svm,4,96,108864,28224,588,7,82.84031375899986,0.9074900793650794,0.9074900793650794,0.9071616591701528,0.9071616591701528,0.9082543620619584,0.9074900793650794,0.8766534391534392,0.9506802721088435,0.9506802721088435,0.9505323334659681,0.9505323334659681,0.952176786852983,0.9506802721088435,0.9342403628117913
