episode_id,subject_id,k,seed,scope,n_calibration_trials,n_evaluation_trials,p0_accuracy,p0_balanced_accuracy,p0_macro_f1,p0_macro_precision,p0_macro_recall,p1_accuracy,p1_balanced_accuracy,p1_macro_f1,p1_macro_precision,p1_macro_recall,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_macro_precision,delta_macro_recall
mendeley-S10-K2-seed3401,10,2,3401,all_eval,8,12,0.9166666666666666,0.9166666666666666,0.9142857142857144,0.9375,0.9166666666666666,0.8333333333333334,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,-0.08333333333333326,-0.08333333333333337,-0.08095238095238111,-0.10416666666666674,-0.08333333333333337
mendeley-S15-K2-seed3401,15,2,3401,all_eval,8,12,0.8333333333333334,0.8333333333333333,0.8125,0.9,0.8333333333333333,0.8333333333333334,0.8333333333333333,0.8125,0.9,0.8333333333333333,0.0,0.0,0.0,0.0,0.0
mendeley-S21-K2-seed3401,21,2,3401,all_eval,8,12,0.5,0.5,0.4017857142857143,0.3375,0.5,0.75,0.75,0.6666666666666666,0.625,0.75,0.25,0.25,0.26488095238095233,0.2875,0.25
mendeley-S23-K2-seed3401,23,2,3401,all_eval,8,12,0.5,0.5,0.375,0.3333333333333333,0.5,0.5833333333333334,0.5833333333333334,0.5113636363636364,0.59375,0.5833333333333333,0.08333333333333337,0.08333333333333337,0.13636363636363635,0.2604166666666667,0.08333333333333326
mendeley-S25-K2-seed3401,25,2,3401,all_eval,8,12,0.75,0.75,0.6666666666666666,0.625,0.75,0.9166666666666666,0.9166666666666666,0.9142857142857144,0.9375,0.9166666666666666,0.16666666666666663,0.16666666666666663,0.24761904761904774,0.3125,0.16666666666666663
mendeley-S35-K2-seed3401,35,2,3401,all_eval,8,12,0.5833333333333334,0.5833333333333334,0.5113636363636364,0.59375,0.5833333333333333,0.5833333333333334,0.5833333333333334,0.5113636363636364,0.59375,0.5833333333333333,0.0,0.0,0.0,0.0,0.0
mendeley-S40-K2-seed3401,40,2,3401,all_eval,8,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S6-K2-seed3401,6,2,3401,all_eval,8,12,0.9166666666666666,0.9166666666666666,0.9142857142857143,0.9375,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333337,0.08571428571428574,0.0625,0.08333333333333337
mendeley-S10-K2-seed3402,10,2,3402,all_eval,8,12,0.9166666666666666,0.9166666666666666,0.9142857142857144,0.9375,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9142857142857144,0.9375,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
mendeley-S15-K2-seed3402,15,2,3402,all_eval,8,12,0.75,0.75,0.6666666666666666,0.625,0.75,0.5,0.5,0.375,0.3333333333333333,0.5,-0.25,-0.25,-0.29166666666666663,-0.2916666666666667,-0.25
mendeley-S21-K2-seed3402,21,2,3402,all_eval,8,12,0.5833333333333334,0.5833333333333334,0.5,0.4375,0.5833333333333333,0.8333333333333334,0.8333333333333333,0.8125,0.9,0.8333333333333333,0.25,0.2499999999999999,0.3125,0.4625,0.25
mendeley-S23-K2-seed3402,23,2,3402,all_eval,8,12,0.5,0.5,0.375,0.3333333333333333,0.5,0.5833333333333334,0.5833333333333334,0.5113636363636364,0.59375,0.5833333333333333,0.08333333333333337,0.08333333333333337,0.13636363636363635,0.2604166666666667,0.08333333333333326
mendeley-S25-K2-seed3402,25,2,3402,all_eval,8,12,0.75,0.75,0.6666666666666666,0.625,0.75,0.75,0.75,0.7375,0.775,0.75,0.0,0.0,0.07083333333333341,0.15000000000000002,0.0
mendeley-S35-K2-seed3402,35,2,3402,all_eval,8,12,0.5,0.5,0.375,0.3333333333333333,0.5,0.5833333333333334,0.5833333333333334,0.5113636363636364,0.59375,0.5833333333333333,0.08333333333333337,0.08333333333333337,0.13636363636363635,0.2604166666666667,0.08333333333333326
mendeley-S40-K2-seed3402,40,2,3402,all_eval,8,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S6-K2-seed3402,6,2,3402,all_eval,8,12,0.9166666666666666,0.9166666666666666,0.9142857142857143,0.9375,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333337,0.08571428571428574,0.0625,0.08333333333333337
mendeley-S10-K2-seed3403,10,2,3403,all_eval,8,12,0.9166666666666666,0.9166666666666666,0.9142857142857144,0.9375,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9142857142857143,0.9375,0.9166666666666666,0.0,0.0,-1.1102230246251565e-16,0.0,0.0
mendeley-S15-K2-seed3403,15,2,3403,all_eval,8,12,0.9166666666666666,0.9166666666666666,0.9142857142857143,0.9375,0.9166666666666666,0.8333333333333334,0.8333333333333333,0.8309523809523809,0.8541666666666666,0.8333333333333333,-0.08333333333333326,-0.08333333333333337,-0.08333333333333337,-0.08333333333333337,-0.08333333333333337
mendeley-S21-K2-seed3403,21,2,3403,all_eval,8,12,0.5,0.5,0.4017857142857143,0.3375,0.5,0.75,0.7499999999999999,0.7267857142857143,0.8375,0.75,0.25,0.2499999999999999,0.32499999999999996,0.5,0.25
mendeley-S23-K2-seed3403,23,2,3403,all_eval,8,12,0.5,0.5,0.375,0.3333333333333333,0.5,0.5833333333333334,0.5833333333333334,0.5113636363636364,0.59375,0.5833333333333333,0.08333333333333337,0.08333333333333337,0.13636363636363635,0.2604166666666667,0.08333333333333326
mendeley-S25-K2-seed3403,25,2,3403,all_eval,8,12,0.6666666666666666,0.6666666666666666,0.6,0.6071428571428572,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.9142857142857143,0.9375,0.9166666666666666,0.25,0.25,0.3142857142857143,0.3303571428571428,0.25
mendeley-S35-K2-seed3403,35,2,3403,all_eval,8,12,0.5833333333333334,0.5833333333333334,0.5113636363636364,0.59375,0.5833333333333333,0.6666666666666666,0.6666666666666666,0.65,0.8571428571428572,0.6666666666666666,0.08333333333333326,0.08333333333333326,0.13863636363636367,0.2633928571428572,0.08333333333333337
mendeley-S40-K2-seed3403,40,2,3403,all_eval,8,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S6-K2-seed3403,6,2,3403,all_eval,8,12,0.9166666666666666,0.9166666666666666,0.9142857142857143,0.9375,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333337,0.08571428571428574,0.0625,0.08333333333333337
mendeley-S10-K2-seed3404,10,2,3404,all_eval,8,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mendeley-S15-K2-seed3404,15,2,3404,all_eval,8,12,0.8333333333333334,0.8333333333333333,0.8125,0.9,0.8333333333333333,0.8333333333333334,0.8333333333333333,0.8125,0.9,0.8333333333333333,0.0,0.0,0.0,0.0,0.0
mendeley-S21-K2-seed3404,21,2,3404,all_eval,8,12,0.5833333333333334,0.5833333333333334,0.5,0.4375,0.5833333333333333,0.6666666666666666,0.6666666666666666,0.5892857142857143,0.5375,0.6666666666666666,0.08333333333333326,0.08333333333333326,0.0892857142857143,0.09999999999999998,0.08333333333333337
mendeley-S23-K2-seed3404,23,2,3404,all_eval,8,12,0.5,0.5,0.375,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.6,0.6071428571428572,0.6666666666666666,0.16666666666666663,0.16666666666666663,0.22499999999999998,0.2738095238095239,0.16666666666666663
