rank,k,candidate_index,policy_id,distance_metric,subject_prototype_weight,personalization_blend_weight,temperature,selection_scope,episode_count,subject_count,seed_count,p0_macro_f1_mean,p1_macro_f1_mean,delta_macro_f1_mean,delta_macro_f1_p10,delta_macro_f1_std,p1_balanced_accuracy_mean,harm_episode_fraction,elapsed_seconds
11,2,9,k2-policy09,cosine,0.75,0.5,1.0,all_eval,640,32,20,0.8011657027867966,0.8030112227182539,0.0018455199314574289,0.0,0.036313896237607175,0.8338541666666666,0.0578125,16.41879579900001
12,2,32,k2-policy32,sqeuclidean,1.0,0.5,0.5,all_eval,640,32,20,0.8011657027867966,0.800471681096681,-0.0006940216901154464,0.0,0.051611818664143154,0.8328776041666668,0.0921875,16.037462218999963
13,2,34,k2-policy34,sqeuclidean,1.0,0.75,0.5,all_eval,640,32,20,0.8011657027867966,0.8004057032377345,-0.000759999549062053,-0.08571428571428574,0.1009373369764378,0.8297526041666667,0.1671875,16.07326977599996
14,2,12,k2-policy12,cosine,1.0,0.25,0.5,all_eval,640,32,20,0.8011657027867966,0.8002446056547619,-0.000921097132034635,0.0,0.031050757836150005,0.8322916666666667,0.0515625,16.380373076999945
15,2,26,k2-policy26,sqeuclidean,0.75,0.5,0.5,all_eval,640,32,20,0.8011657027867966,0.7992761036706348,-0.001889599116161622,0.0,0.042742400538411135,0.8317057291666666,0.078125,15.827874395000208
16,2,25,k2-policy25,sqeuclidean,0.75,0.25,1.0,all_eval,640,32,20,0.8011657027867966,0.7992683813582252,-0.0018973214285714292,0.0,0.013879499864658511,0.8313802083333334,0.01875,15.655742816000156
17,2,6,k2-policy06,cosine,0.75,0.25,0.5,all_eval,640,32,20,0.8011657027867966,0.7991984577922079,-0.0019672449945887472,0.0,0.030222508387753755,0.8315104166666666,0.0484375,16.16282576900005
18,2,19,k2-policy19,sqeuclidean,0.5,0.25,1.0,all_eval,640,32,20,0.8011657027867966,0.7991502637987014,-0.0020154389880952376,0.0,0.015501918744001973,0.8315104166666666,0.0171875,16.49050701400006
19,2,13,k2-policy13,cosine,1.0,0.25,1.0,all_eval,640,32,20,0.8011657027867966,0.798902867965368,-0.0022628348214285723,0.0,0.019904515682739203,0.83125,0.0296875,16.119723793999924
20,2,3,k2-policy03,cosine,0.5,0.5,1.0,all_eval,640,32,20,0.8011657027867966,0.7985124684343434,-0.002653234352453105,0.0,0.027587042961793828,0.8305989583333332,0.059375,16.01783973499994
21,2,1,k2-policy01,cosine,0.5,0.25,1.0,all_eval,640,32,20,0.8011657027867966,0.7984806209415585,-0.002685081845238095,0.0,0.017819061630789928,0.830859375,0.0265625,17.11261269199997
22,2,31,k2-policy31,sqeuclidean,1.0,0.25,1.0,all_eval,640,32,20,0.8011657027867966,0.798380174512987,-0.0027855282738095243,0.0,0.017506530329208504,0.83046875,0.028125,15.903302578999956
23,2,0,k2-policy00,cosine,0.5,0.25,0.5,all_eval,640,32,20,0.8011657027867966,0.7983558238636365,-0.002809878923160175,0.0,0.027057505852476908,0.8305989583333332,0.046875,16.902572090000035
24,2,7,k2-policy07,cosine,0.75,0.25,1.0,all_eval,640,32,20,0.8011657027867966,0.7982127637987013,-0.0029529389880952384,0.0,0.019024382791487424,0.8305989583333334,0.03125,16.42304164799998
25,2,28,k2-policy28,sqeuclidean,0.75,0.75,0.5,all_eval,640,32,20,0.8011657027867966,0.7980206360479799,-0.003145066738816745,-0.08571428571428574,0.08630326662986693,0.8287109375,0.14375,15.638760265999963
26,2,18,k2-policy18,sqeuclidean,0.5,0.25,0.5,all_eval,640,32,20,0.8011657027867966,0.7979628878066378,-0.003202814980158731,0.0,0.01925951138799413,0.83046875,0.0328125,16.000217381000084
27,2,24,k2-policy24,sqeuclidean,0.75,0.25,0.5,all_eval,640,32,20,0.8011657027867966,0.7978112881042569,-0.0033544146825396845,0.0,0.0252825079058266,0.830078125,0.0390625,15.654496558000119
28,2,30,k2-policy30,sqeuclidean,1.0,0.25,0.5,all_eval,640,32,20,0.8011657027867966,0.7975228005501444,-0.0036429022366522394,0.0,0.029338022057887003,0.8299479166666666,0.05,15.626803800999824
29,2,21,k2-policy21,sqeuclidean,0.5,0.5,1.0,all_eval,640,32,20,0.8011657027867966,0.7970560797709236,-0.004109623015873017,0.0,0.0265649928941141,0.8297526041666667,0.0484375,16.509158219000028
30,2,22,k2-policy22,sqeuclidean,0.5,0.75,0.5,all_eval,640,32,20,0.8011657027867966,0.7965254385371573,-0.004640264249639257,-0.07738095238095233,0.07378665932831016,0.8284505208333333,0.115625,16.019004571000096
31,2,33,k2-policy33,sqeuclidean,1.0,0.5,1.0,all_eval,640,32,20,0.8011657027867966,0.7964374210858586,-0.004728281700937955,0.0,0.035784031426603205,0.8293619791666668,0.071875,15.903473581000071
32,2,27,k2-policy27,sqeuclidean,0.75,0.5,1.0,all_eval,640,32,20,0.8011657027867966,0.7960523764430014,-0.005113326343795097,0.0,0.034842381376855275,0.8288411458333332,0.0625,15.754561144000036
